wafer	sensor_t1	sensor_t2	sensor_t3	sensor_t4	sensor_t5	sensor_t6	sensor_t7	sensor_t8	sensor_t9	sensor_t10	sensor_p1	sensor_p2	sensor_p3	sensor_p4	sensor_p5	sensor_p6	sensor_p7	sensor_p8	sensor_p9	sensor_p10	GB
1963	1025	1022	1025	1025	1025	1022	1024	1027	1023	1021	118	119	120	118	120	118	120	121	119	120	G
1964	1026	1023	1026	1025	1024	1027	1027	1028	1025	1021	119	119	121	119	121	120	122	121	121	118	G
1965	1024	1023	1026	1026	1027	1026	1025	1028	1026	1020	119	117	119	119	120	120	122	121	120	122	G
1966	1024	1022	1027	1025	1028	1025	1024	1024	1026	1025	119	118	120	120	120	118	122	121	121	120	G
1967	1026	1027	1023	1027	1028	1025	1025	1027	1023	1020	118	118	119	120	119	120	121	121	121	122	G
1968	1026	1023	1023	1022	1026	1024	1024	1023	1023	1022	118	117	119	121	119	122	121	121	121	120	G
1969	1024	1023	1027	1022	1026	1023	1026	1028	1023	1020	119	118	121	119	119	119	122	121	120	119	G
1970	1022	1028	1023	1022	1024	1023	1023	1022	1026	1021	119	118	120	121	120	120	120	121	121	119	G
1971	1023	1026	1026	1028	1026	1025	1024	1024	1026	1020	118	119	121	118	120	119	121	122	121	120	G
1972	1026	1026	1026	1027	1027	1025	1025	1027	1025	1024	117	118	119	122	120	118	121	122	121	119	G
1973	1026	1025	1025	1026	1026	1028	1026	1024	1026	1026	118	118	119	118	121	120	120	122	121	120	G
1974	1026	1023	1027	1025	1024	1025	1024	1023	1024	1025	118	118	121	120	119	121	121	121	120	118	G
1975	1025	1026	1025	1027	1024	1028	1024	1027	1023	1024	118	119	120	122	120	119	121	122	119	121	G
1976	1023	1023	1024	1028	1025	1022	1025	1022	1024	1022	117	119	119	122	119	122	120	121	121	119	G
1977	1026	1026	1026	1028	1026	1026	1024	1028	1023	1024	119	117	120	121	119	118	122	122	120	120	G
1978	1024	1024	1024	1024	1024	1023	1027	1025	1024	1026	119	118	121	118	120	119	121	122	119	122	G
1979	1026	1025	1026	1023	1024	1027	1027	1022	1024	1023	117	119	120	119	121	121	120	121	120	121	G
1980	1026	1026	1023	1025	1026	1024	1023	1026	1024	1020	117	118	121	118	119	121	122	122	121	119	G
1981	1026	1026	1027	1022	1027	1026	1025	1028	1026	1026	119	118	121	121	121	118	120	121	120	119	G
1982	1024	1026	1025	1024	1027	1028	1025	1023	1025	1022	119	119	120	121	121	121	121	121	121	119	G
1983	1024	1025	1025	1023	1026	1024	1024	1026	1024	1022	119	119	120	118	121	118	121	122	121	120	G
1984	1026	1023	1025	1022	1028	1023	1024	1023	1023	1021	119	119	119	121	119	120	122	121	120	121	G
1985	1023	1025	1027	1026	1025	1026	1025	1027	1024	1020	119	119	119	120	121	118	120	121	120	122	G
1986	1023	1024	1024	1025	1028	1027	1023	1023	1025	1020	118	117	119	120	119	120	122	122	120	120	G
1987	1023	1022	1024	1027	1024	1025	1023	1025	1024	1024	118	118	119	122	121	122	121	122	121	118	G
1988	1025	1024	1025	1023	1028	1022	1024	1024	1023	1021	119	117	120	120	120	122	121	122	121	120	G
1989	1025	1023	1026	1028	1027	1025	1023	1028	1026	1024	118	119	120	122	120	120	121	122	120	121	G
1990	1023	1025	1024	1024	1027	1026	1025	1028	1025	1025	117	118	119	118	120	120	122	121	121	118	G
1991	1025	1026	1023	1026	1028	1028	1025	1025	1024	1024	119	118	120	118	120	122	120	121	120	120	G
1992	1025	1022	1025	1024	1024	1026	1023	1022	1023	1020	117	118	120	122	119	120	120	122	119	120	G
1993	1023	1023	1026	1027	1028	1028	1027	1026	1026	1022	119	119	119	121	119	120	122	122	121	118	G
1994	1022	1024	1024	1027	1024	1028	1023	1024	1024	1025	118	117	120	121	119	120	120	121	120	121	G
1995	1025	1023	1027	1024	1026	1026	1025	1022	1023	1020	117	119	119	121	120	120	122	121	120	122	G
1996	1023	1022	1023	1026	1027	1022	1026	1028	1023	1022	119	119	120	119	120	122	120	122	121	122	G
1997	1022	1027	1025	1028	1024	1025	1027	1024	1027	1023	119	117	120	121	121	122	120	122	119	121	G
1998	1025	1025	1024	1025	1024	1022	1024	1022	1024	1020	118	118	120	120	120	122	122	122	120	118	G
1999	1022	1023	1027	1023	1025	1028	1026	1028	1023	1020	118	119	120	119	120	119	121	121	120	120	G
2000	1022	1023	1026	1027	1028	1026	1024	1027	1027	1020	117	118	119	122	119	121	120	121	119	118	G
2001	1026	1022	1024	1023	1026	1023	1023	1026	1026	1024	119	119	121	118	121	119	122	121	121	120	G
2002	1025	1026	1023	1022	1027	1026	1023	1022	1023	1023	119	117	120	119	120	122	122	121	120	121	G
2003	1022	1024	1023	1027	1026	1025	1025	1028	1026	1023	118	117	119	122	120	118	121	122	121	120	G
2004	1022	1022	1023	1023	1025	1025	1023	1027	1025	1025	118	119	119	120	120	118	122	122	119	121	G
2005	1022	1024	1023	1025	1025	1024	1027	1025	1023	1020	118	119	119	120	121	118	120	122	121	120	G
2006	1026	1028	1025	1024	1028	1022	1024	1025	1025	1023	119	118	119	120	119	120	120	122	120	118	G
2007	1022	1028	1027	1024	1028	1028	1025	1022	1026	1024	118	119	120	121	121	122	122	121	119	122	G
2008	1024	1024	1025	1023	1024	1025	1026	1024	1023	1021	117	118	119	122	120	118	121	121	119	121	G
2009	1026	1023	1026	1026	1026	1026	1025	1022	1024	1025	117	119	120	122	120	118	122	122	120	118	G
2010	1025	1024	1024	1022	1028	1023	1027	1024	1027	1021	119	118	120	122	120	122	122	121	121	120	G
2011	1025	1028	1023	1022	1027	1024	1027	1023	1027	1020	119	118	121	121	119	121	120	122	121	119	G
2012	1024	1026	1023	1023	1026	1024	1025	1024	1026	1021	117	119	119	122	121	119	122	121	119	120	G
2013	1024	1026	1025	1028	1027	1025	1024	1024	1023	1021	117	119	119	118	120	120	122	121	121	121	G
2014	1025	1027	1027	1024	1025	1028	1027	1025	1023	1020	119	119	120	121	120	122	122	122	121	120	G
2015	1024	1028	1023	1026	1026	1022	1023	1023	1023	1020	117	119	119	119	121	118	121	121	121	120	G
2016	1025	1025	1023	1024	1028	1028	1023	1023	1026	1024	117	119	119	120	121	120	120	122	121	118	G
2017	1022	1026	1027	1023	1026	1026	1026	1022	1024	1026	117	118	119	119	121	122	121	122	119	120	G
2018	1026	1028	1024	1026	1024	1024	1026	1024	1023	1026	118	118	121	118	120	122	120	122	120	122	G
2019	1022	1022	1024	1024	1028	1025	1024	1022	1023	1022	117	117	121	120	121	118	121	121	120	122	G
2020	1023	1022	1026	1027	1025	1028	1025	1022	1027	1025	118	119	121	121	121	118	121	121	119	119	G
2021	1024	1027	1024	1027	1026	1028	1025	1028	1026	1021	118	117	120	118	119	120	120	121	120	118	G
2022	1025	1022	1027	1025	1028	1028	1025	1027	1025	1024	117	118	120	120	119	122	122	121	121	118	G
2023	1025	1026	1024	1023	1024	1028	1027	1023	1024	1021	118	117	120	119	121	118	120	121	121	121	G
2024	1023	1024	1024	1028	1027	1022	1023	1024	1027	1026	118	118	121	122	121	119	121	121	120	121	G
2025	1022	1027	1026	1023	1026	1022	1024	1025	1024	1024	117	117	120	119	120	121	122	121	121	119	G
2026	1022	1023	1024	1028	1026	1023	1025	1028	1027	1021	118	118	119	120	119	119	122	122	119	121	G
2027	1022	1026	1023	1027	1025	1022	1025	1027	1025	1021	119	117	120	120	121	122	120	121	121	119	G
2028	1023	1028	1027	1026	1025	1025	1023	1028	1027	1025	119	118	120	120	119	122	122	121	119	119	G
2029	1026	1023	1023	1026	1024	1023	1025	1022	1024	1023	117	118	121	119	119	122	120	122	119	120	G
2030	1023	1027	1024	1024	1024	1023	1026	1027	1025	1021	119	118	120	122	119	121	121	122	119	120	G
2031	1023	1026	1026	1022	1027	1025	1026	1025	1027	1021	119	117	121	122	121	120	121	121	121	118	G
2032	1025	1023	1025	1023	1025	1027	1027	1028	1025	1021	118	118	121	121	119	121	122	121	121	118	G
2033	1024	1026	1024	1025	1024	1024	1024	1024	1027	1020	119	117	121	119	119	119	122	121	119	118	G
2034	1022	1026	1027	1023	1027	1024	1023	1028	1026	1023	118	117	119	119	119	121	121	122	120	122	G
2035	1024	1027	1023	1022	1025	1026	1023	1027	1026	1020	117	119	120	122	121	118	120	122	120	122	G
2036	1025	1028	1026	1026	1027	1028	1026	1026	1026	1020	117	119	119	120	121	122	120	122	119	120	G
2037	1026	1025	1026	1025	1027	1028	1024	1027	1023	1020	117	119	120	118	120	121	120	122	121	120	G
2038	1026	1027	1027	1022	1025	1027	1025	1027	1023	1020	118	119	119	118	120	120	120	121	120	120	G
2039	1024	1022	1027	1022	1028	1028	1023	1023	1023	1023	119	118	120	118	121	121	120	121	119	120	G
2040	1026	1027	1026	1026	1028	1023	1026	1026	1023	1026	118	118	121	119	121	118	121	121	119	120	G
2041	1022	1025	1026	1028	1028	1022	1024	1023	1025	1026	117	118	119	118	120	122	122	122	119	120	G
2042	1022	1022	1024	1028	1026	1022	1026	1026	1023	1020	118	117	121	119	120	119	121	122	121	118	G
2043	1025	1023	1027	1026	1024	1026	1023	1023	1024	1022	119	118	119	121	120	122	120	121	121	118	G
2044	1025	1027	1025	1022	1026	1025	1024	1022	1026	1025	118	117	121	122	121	118	122	122	119	118	G
2045	1025	1026	1024	1027	1024	1023	1027	1026	1024	1021	117	119	121	122	120	118	120	121	121	119	G
2046	1026	1028	1026	1026	1025	1024	1027	1024	1025	1023	117	118	120	120	121	121	120	121	120	118	G
2047	1022	1027	1024	1028	1024	1022	1023	1027	1023	1025	117	119	120	121	119	122	122	122	120	122	G
2048	1025	1024	1024	1028	1028	1025	1023	1025	1026	1021	119	117	121	119	121	121	121	122	121	118	G
2049	1025	1026	1023	1022	1026	1023	1025	1028	1025	1024	119	117	120	122	120	122	121	121	119	122	G
2050	1022	1024	1024	1026	1026	1023	1026	1023	1023	1023	117	118	119	120	121	120	122	122	119	122	G
2051	1023	1022	1023	1026	1025	1023	1023	1025	1026	1025	117	117	121	121	120	120	120	121	120	118	G
2052	1023	1023	1026	1023	1027	1028	1023	1026	1026	1022	119	117	119	122	120	121	122	122	119	120	G
2053	1023	1022	1024	1025	1027	1023	1026	1024	1024	1023	119	117	120	118	120	119	121	122	121	122	G
2054	1023	1028	1027	1028	1026	1028	1026	1023	1027	1024	118	118	119	118	120	122	120	121	120	121	G
2055	1022	1028	1023	1028	1024	1028	1023	1023	1027	1023	117	118	120	120	121	120	122	121	120	121	G
2056	1023	1025	1024	1026	1025	1027	1025	1024	1025	1020	118	119	121	121	119	119	120	122	121	121	G
2057	1023	1023	1024	1025	1027	1025	1024	1023	1026	1022	118	119	120	118	119	121	120	121	120	120	G
2058	1026	1022	1026	1025	1024	1026	1025	1026	1027	1024	117	118	121	122	120	122	120	121	121	120	G
2059	1022	1025	1023	1022	1027	1023	1027	1028	1023	1026	118	118	120	119	119	119	120	121	121	119	G
2060	1025	1026	1026	1022	1028	1024	1026	1028	1023	1022	117	117	119	119	119	118	122	122	120	122	G
2061	1024	1026	1025	1024	1026	1022	1026	1025	1023	1020	117	118	120	119	119	120	122	121	121	120	G
2062	1025	1027	1024	1028	1028	1023	1023	1027	1026	1023	118	119	119	120	121	121	120	121	120	120	G
2063	1025	1026	1025	1022	1025	1022	1023	1025	1025	1022	119	119	119	122	121	118	120	121	120	122	G
2064	1022	1026	1025	1026	1028	1023	1027	1022	1023	1025	117	118	121	120	119	122	120	121	120	122	G
2065	1026	1025	1023	1022	1024	1028	1027	1026	1023	1023	119	117	119	122	119	119	120	122	121	120	G
2066	1026	1028	1023	1023	1026	1023	1023	1025	1024	1021	118	117	121	120	119	119	122	121	119	118	G
2067	1023	1028	1024	1028	1025	1027	1025	1024	1026	1025	118	119	119	120	119	121	121	122	121	121	G
2068	1023	1027	1026	1022	1026	1024	1023	1028	1026	1022	117	117	119	120	120	119	122	121	120	119	G
2069	1025	1022	1024	1027	1026	1028	1025	1025	1026	1026	117	117	119	120	120	122	122	121	119	120	G
2070	1023	1024	1023	1024	1026	1023	1023	1027	1027	1024	118	117	120	119	121	121	122	122	120	118	G
2071	1023	1024	1025	1026	1025	1028	1024	1028	1027	1020	118	117	120	120	121	118	121	122	121	119	G
2072	1022	1023	1027	1023	1024	1027	1025	1026	1026	1021	117	119	120	118	119	121	122	121	120	121	G
2073	1024	1028	1023	1023	1024	1023	1023	1023	1024	1022	117	117	120	122	120	120	120	121	120	121	G
2074	1024	1023	1023	1025	1026	1023	1027	1026	1023	1025	118	117	119	121	119	119	122	121	121	122	G
2075	1022	1023	1027	1028	1028	1022	1026	1024	1025	1023	119	117	120	121	121	121	122	121	119	121	G
2076	1023	1022	1027	1022	1026	1024	1027	1024	1023	1020	118	118	120	119	119	118	120	122	121	122	G
2077	1022	1022	1024	1025	1024	1028	1023	1028	1026	1022	117	118	121	118	119	118	120	121	121	118	G
2078	1022	1024	1025	1023	1027	1024	1027	1028	1023	1021	119	117	121	122	119	119	122	121	121	120	G
2079	1026	1026	1025	1025	1025	1028	1024	1023	1027	1026	118	119	120	120	119	122	120	122	121	119	G
2080	1023	1024	1027	1028	1025	1023	1027	1027	1024	1023	118	119	120	120	121	121	122	121	121	119	G
2081	1022	1026	1027	1024	1028	1028	1023	1022	1023	1022	119	119	120	120	120	118	121	121	119	121	G
2082	1023	1028	1026	1023	1027	1022	1024	1028	1023	1026	119	117	121	119	120	118	120	122	121	120	G
2083	1026	1028	1024	1024	1028	1026	1026	1028	1025	1023	119	117	119	120	121	122	122	121	121	122	G
2084	1025	1022	1027	1027	1024	1027	1027	1023	1024	1022	119	118	120	118	119	121	122	121	120	122	G
2085	1023	1027	1026	1028	1024	1026	1024	1023	1027	1026	118	117	120	118	120	122	120	121	119	122	G
2086	1022	1027	1025	1022	1024	1024	1024	1026	1027	1024	118	117	120	118	119	119	120	121	120	118	G
2087	1025	1025	1024	1025	1025	1022	1027	1024	1024	1020	117	117	120	120	121	119	122	121	119	118	G
2088	1025	1023	1027	1028	1025	1025	1027	1024	1023	1021	119	118	121	118	119	120	121	121	119	120	G
2089	1024	1024	1026	1027	1024	1022	1026	1023	1024	1021	118	117	121	119	121	119	121	122	119	121	G
2090	1024	1024	1026	1025	1024	1023	1024	1025	1024	1026	119	117	119	119	119	118	122	122	120	119	G
2091	1023	1027	1023	1028	1028	1022	1026	1023	1026	1022	118	118	121	120	120	121	122	122	119	118	G
2092	1024	1028	1023	1023	1024	1027	1025	1027	1026	1026	117	119	121	119	121	122	120	122	120	118	G
2093	1026	1023	1024	1022	1027	1025	1023	1024	1027	1021	117	118	119	119	121	119	121	122	120	118	G
2094	1023	1028	1023	1025	1025	1022	1023	1026	1025	1021	118	118	121	122	121	118	121	121	119	121	G
2095	1023	1025	1025	1028	1024	1023	1026	1025	1026	1021	119	117	119	122	121	121	121	122	120	121	G
2096	1022	1024	1024	1022	1028	1022	1026	1026	1027	1025	119	118	120	119	120	119	122	121	119	118	G
2097	1023	1026	1023	1024	1026	1027	1023	1023	1026	1024	119	119	121	121	119	122	122	121	121	120	G
2098	1024	1023	1026	1026	1024	1022	1023	1025	1025	1021	117	117	120	120	120	122	122	121	121	122	G
2099	1024	1028	1026	1024	1024	1023	1026	1023	1026	1022	118	118	119	120	121	122	121	121	121	122	G
2100	1022	1023	1023	1026	1027	1028	1026	1023	1023	1023	117	119	119	120	120	119	122	121	121	122	G
2101	1024	1026	1024	1023	1026	1026	1024	1025	1023	1022	118	117	119	118	121	122	120	122	119	122	G
2102	1023	1028	1024	1022	1027	1022	1025	1024	1027	1023	117	117	119	119	119	121	122	122	120	121	G
2103	1024	1025	1023	1022	1027	1025	1025	1028	1025	1022	119	118	119	118	121	120	121	121	121	120	G
2104	1023	1025	1024	1026	1026	1024	1026	1022	1023	1024	117	118	120	122	120	120	121	122	120	119	G
2105	1026	1025	1024	1023	1024	1023	1024	1028	1023	1021	118	117	119	121	121	118	121	121	119	118	G
2106	1024	1026	1024	1022	1026	1026	1027	1023	1026	1026	119	117	121	122	119	119	122	122	120	120	G
2107	1023	1024	1027	1028	1024	1025	1024	1028	1027	1022	119	117	120	119	120	119	122	121	119	119	G
2108	1023	1024	1026	1027	1026	1024	1027	1024	1023	1023	119	118	120	122	120	121	120	122	120	120	G
2109	1026	1028	1026	1023	1027	1026	1023	1028	1025	1024	119	118	120	120	121	119	121	121	119	119	G
2110	1025	1024	1027	1027	1027	1022	1025	1022	1027	1020	117	119	120	118	121	122	122	121	121	119	G
2111	1022	1023	1023	1028	1026	1025	1025	1022	1026	1020	119	118	121	122	119	120	121	121	121	119	G
2112	1022	1027	1026	1024	1028	1025	1024	1027	1026	1020	118	118	119	119	121	119	122	121	121	120	G
2113	1024	1023	1024	1026	1027	1027	1025	1022	1026	1025	117	118	120	119	120	118	120	122	120	120	G
2114	1022	1024	1025	1025	1024	1028	1025	1025	1025	1026	117	118	121	118	121	121	122	121	121	122	G
2115	1022	1024	1025	1028	1024	1028	1027	1027	1024	1020	119	118	119	121	119	120	121	122	120	119	G
2116	1025	1023	1024	1022	1028	1023	1025	1024	1027	1021	118	118	120	119	119	120	121	121	121	122	G
2117	1026	1027	1025	1024	1027	1022	1024	1025	1026	1024	119	119	120	121	119	122	122	122	120	120	G
2118	1026	1025	1023	1028	1025	1025	1027	1028	1023	1021	118	118	120	120	121	121	121	121	120	119	G
2119	1023	1027	1027	1022	1028	1022	1024	1027	1024	1025	117	118	120	122	120	120	121	121	119	122	G
2120	1024	1022	1025	1024	1025	1027	1027	1025	1027	1021	118	117	120	119	120	118	122	121	121	122	G
2121	1024	1028	1025	1025	1024	1022	1026	1027	1023	1026	117	117	119	120	119	119	122	122	120	120	G
2122	1023	1025	1027	1027	1025	1026	1023	1028	1026	1023	119	119	121	120	121	118	121	122	121	118	G
2123	1026	1028	1026	1025	1025	1026	1023	1023	1026	1022	118	118	120	118	121	121	122	122	119	121	G
2124	1025	1028	1025	1023	1027	1024	1025	1023	1027	1025	118	119	119	118	120	121	122	121	119	120	G
2125	1026	1024	1026	1025	1028	1025	1025	1025	1026	1025	117	117	121	121	121	121	122	121	121	120	G
2126	1026	1026	1024	1025	1027	1022	1025	1024	1027	1023	119	118	119	118	120	121	122	122	121	120	G
2127	1026	1026	1023	1024	1026	1023	1027	1027	1026	1020	119	117	121	118	120	118	121	121	120	122	G
2128	1023	1022	1026	1022	1024	1028	1026	1025	1027	1026	118	117	121	121	121	122	121	121	119	118	G
2129	1022	1024	1027	1023	1025	1023	1025	1025	1024	1022	119	118	120	121	121	118	120	122	120	120	G
2130	1024	1024	1026	1025	1028	1027	1026	1028	1026	1021	118	117	119	121	119	122	122	121	120	121	G
2131	1023	1025	1025	1024	1025	1022	1023	1023	1025	1023	118	117	119	118	121	119	120	121	119	118	G
2132	1023	1024	1025	1026	1027	1024	1026	1028	1026	1023	117	119	119	122	121	122	120	121	119	122	G
2133	1022	1022	1024	1024	1027	1024	1024	1022	1023	1025	119	118	120	118	120	118	120	121	121	119	G
2134	1024	1026	1026	1026	1027	1026	1023	1027	1025	1021	119	117	119	118	121	119	121	122	120	121	G
2135	1024	1026	1026	1024	1025	1027	1024	1025	1027	1022	118	119	119	121	120	118	121	122	121	120	G
2136	1023	1025	1023	1028	1027	1022	1023	1028	1025	1020	118	119	119	121	120	119	121	122	120	122	G
2137	1026	1024	1025	1025	1028	1026	1026	1023	1026	1022	118	118	119	121	120	121	121	121	119	119	G
2138	1025	1026	1025	1022	1024	1025	1025	1024	1023	1022	117	119	120	120	121	122	122	121	119	120	G
2139	1025	1028	1026	1025	1026	1028	1025	1022	1025	1020	119	118	120	120	121	118	120	121	120	121	G
2140	1024	1026	1027	1027	1027	1025	1024	1025	1026	1020	119	119	120	118	119	122	121	121	121	120	G
2141	1024	1023	1023	1028	1026	1025	1026	1022	1024	1026	117	118	121	120	119	119	121	122	120	121	G
2142	1022	1024	1026	1024	1024	1028	1026	1023	1026	1023	117	118	120	119	121	118	122	122	120	118	G
2143	1025	1028	1023	1025	1028	1028	1025	1022	1026	1021	118	118	120	118	121	122	120	122	120	118	G
2144	1023	1027	1023	1025	1026	1022	1023	1023	1025	1021	119	118	120	120	121	119	122	122	120	119	G
2145	1024	1027	1026	1028	1026	1026	1027	1027	1024	1022	117	119	121	118	121	121	121	121	119	118	G
2146	1025	1022	1023	1025	1024	1022	1026	1024	1026	1022	118	118	121	118	120	122	122	121	120	120	G
2147	1025	1026	1025	1028	1025	1026	1027	1023	1026	1025	119	119	119	121	121	122	120	122	119	122	G
2148	1022	1022	1027	1026	1024	1022	1027	1023	1023	1023	118	119	119	119	121	118	122	121	119	119	G
2149	1024	1022	1027	1023	1024	1022	1026	1022	1023	1026	117	117	119	119	119	119	122	121	120	119	G
2150	1025	1023	1027	1024	1028	1027	1023	1026	1026	1021	119	117	120	122	121	118	122	122	120	120	G
2151	1025	1023	1025	1023	1024	1022	1027	1025	1027	1023	119	117	119	122	119	120	120	122	120	120	G
2152	1025	1025	1027	1022	1024	1025	1024	1023	1026	1022	117	118	120	119	121	119	122	122	120	121	G
2153	1022	1025	1023	1023	1027	1028	1024	1027	1025	1024	117	118	120	120	120	119	122	121	121	119	G
2154	1024	1027	1026	1025	1025	1026	1026	1024	1025	1020	119	119	121	121	119	121	121	121	119	121	G
2155	1024	1025	1023	1024	1025	1026	1023	1023	1025	1021	118	119	119	118	119	122	120	122	121	119	G
2156	1026	1023	1026	1028	1025	1024	1024	1023	1025	1025	118	117	120	121	121	120	120	121	119	122	G
2157	1024	1023	1024	1028	1025	1027	1024	1027	1026	1020	118	117	119	121	120	120	122	121	120	120	G
2158	1024	1025	1026	1025	1028	1028	1026	1024	1023	1024	118	118	119	118	121	118	121	122	120	118	G
2159	1024	1023	1023	1028	1026	1023	1025	1023	1023	1021	119	118	121	122	121	120	122	121	121	118	G
2160	1025	1024	1025	1025	1024	1028	1026	1024	1025	1021	118	118	120	122	120	121	120	122	120	122	G
2161	1024	1026	1023	1022	1027	1027	1027	1025	1025	1025	119	117	119	118	121	121	121	122	120	121	G
2162	1023	1026	1024	1022	1028	1022	1026	1023	1025	1020	119	119	120	121	121	122	120	122	119	121	G
2163	1022	1028	1026	1024	1028	1025	1024	1024	1023	1024	118	119	120	120	120	120	122	122	119	120	G
2164	1024	1022	1024	1025	1026	1026	1026	1024	1027	1020	117	118	119	118	119	121	121	121	121	118	G
2165	1025	1027	1026	1028	1028	1022	1025	1028	1023	1020	119	119	121	118	121	118	120	122	121	119	G
2166	1022	1024	1025	1027	1026	1025	1024	1025	1026	1024	119	118	121	120	120	121	120	121	121	118	G
2167	1025	1025	1023	1025	1027	1023	1027	1025	1026	1021	118	117	120	118	119	121	120	121	120	122	G
2168	1022	1022	1023	1027	1026	1022	1024	1023	1023	1025	117	118	119	120	121	120	120	122	121	119	G
2169	1025	1026	1026	1022	1027	1026	1025	1023	1026	1022	117	119	120	119	120	120	121	121	120	122	G
2170	1026	1027	1023	1024	1024	1025	1024	1028	1023	1020	118	117	120	119	120	120	121	122	121	121	G
2171	1026	1026	1023	1028	1028	1026	1023	1025	1024	1023	118	118	120	122	121	120	120	121	120	118	G
2172	1023	1024	1023	1024	1028	1025	1023	1023	1024	1021	118	118	121	122	119	118	122	121	120	122	G
2173	1026	1022	1023	1026	1025	1024	1024	1023	1026	1025	118	119	119	122	121	119	122	122	119	119	G
2174	1023	1027	1026	1028	1027	1024	1026	1027	1025	1023	119	118	121	120	119	119	120	122	120	120	G
2175	1023	1024	1023	1026	1028	1027	1025	1024	1025	1023	118	117	120	118	121	121	121	122	120	120	G
2176	1022	1024	1026	1025	1027	1022	1027	1026	1024	1024	119	119	119	120	121	118	120	122	120	119	G
2177	1025	1026	1023	1024	1024	1025	1023	1022	1025	1023	117	117	119	119	120	119	122	122	119	119	G
2178	1023	1025	1027	1028	1027	1024	1025	1026	1027	1023	118	119	119	120	119	118	120	121	120	122	G
2179	1024	1025	1026	1022	1025	1025	1023	1025	1023	1020	118	117	121	120	119	121	120	122	121	122	G
2180	1022	1028	1025	1025	1024	1023	1023	1022	1024	1022	117	118	119	122	121	120	122	122	119	122	G
2181	1022	1024	1024	1025	1024	1022	1027	1027	1026	1026	119	117	119	118	120	121	120	122	119	122	G
2182	1026	1024	1025	1025	1026	1025	1025	1025	1027	1023	117	119	121	119	120	120	120	122	120	121	G
2183	1025	1026	1024	1026	1024	1026	1024	1022	1027	1023	117	119	121	118	119	120	120	122	119	119	G
2184	1022	1028	1023	1024	1028	1023	1026	1027	1026	1023	118	119	119	118	121	120	121	121	120	119	G
2185	1024	1024	1024	1022	1026	1026	1027	1024	1027	1021	119	118	121	121	121	119	122	121	120	120	G
2186	1022	1026	1026	1027	1026	1022	1026	1026	1024	1023	117	118	121	121	120	121	121	121	119	120	G
2187	1025	1023	1023	1026	1028	1025	1026	1025	1025	1020	117	117	120	119	120	121	120	122	119	119	G
2188	1024	1023	1027	1024	1025	1026	1025	1028	1026	1022	117	119	119	121	121	122	122	122	121	120	G
2189	1026	1028	1026	1024	1026	1025	1027	1027	1023	1026	119	117	121	118	120	122	122	122	121	122	G
2190	1023	1022	1027	1028	1028	1028	1026	1022	1027	1024	119	119	120	122	119	121	122	122	121	119	G
2191	1025	1026	1023	1024	1026	1024	1024	1025	1025	1026	119	119	119	119	120	121	120	122	120	118	G
2192	1025	1026	1025	1026	1027	1028	1023	1026	1025	1025	117	117	120	118	121	122	120	122	121	119	G
2193	1024	1025	1026	1022	1025	1026	1023	1024	1023	1022	119	118	120	122	119	118	122	122	120	119	G
2194	1026	1025	1027	1025	1026	1028	1026	1023	1023	1025	117	117	120	120	120	118	122	121	119	118	G
2195	1023	1026	1026	1023	1025	1024	1023	1027	1025	1020	117	117	120	120	119	122	122	121	120	118	G
2196	1023	1023	1027	1024	1028	1022	1025	1024	1027	1025	119	118	120	118	121	118	121	121	121	118	G
2197	1025	1027	1027	1022	1027	1026	1023	1024	1026	1026	117	118	119	120	119	119	122	122	121	119	G
2198	1023	1025	1025	1024	1025	1028	1024	1026	1023	1021	119	117	121	118	121	121	120	121	121	120	G
2199	1024	1028	1027	1025	1028	1028	1024	1022	1023	1022	117	117	120	122	119	120	120	122	121	118	G
2200	1022	1023	1025	1027	1026	1028	1024	1024	1023	1024	118	119	121	118	119	122	120	122	119	121	G
2201	1023	1024	1025	1024	1025	1025	1025	1027	1027	1022	119	117	120	118	119	122	121	122	121	119	G
2202	1025	1026	1024	1028	1026	1023	1023	1027	1027	1025	118	117	119	122	121	119	120	122	121	118	G
2203	1025	1028	1026	1025	1026	1024	1024	1024	1023	1025	118	119	120	119	121	122	121	121	119	118	G
2204	1024	1023	1023	1027	1025	1027	1025	1025	1027	1026	117	119	121	121	120	120	121	121	121	118	G
2205	1025	1022	1023	1027	1027	1024	1024	1024	1027	1021	119	118	120	121	119	119	120	121	121	119	G
2206	1023	1024	1024	1022	1027	1025	1024	1026	1027	1025	118	117	121	122	119	121	121	122	119	120	G
2207	1026	1027	1023	1023	1024	1024	1025	1027	1025	1022	118	117	121	122	121	118	121	122	120	122	G
2208	1023	1026	1024	1023	1028	1028	1025	1025	1024	1025	118	119	120	118	120	122	122	121	121	118	G
2209	1025	1022	1027	1027	1026	1026	1023	1024	1027	1021	119	119	119	118	121	119	122	121	120	119	G
2210	1023	1024	1024	1024	1027	1023	1025	1026	1026	1022	118	119	119	118	121	121	120	121	119	118	G
2211	1025	1027	1026	1022	1024	1024	1026	1028	1024	1024	117	119	121	121	120	122	120	121	121	122	G
2212	1024	1024	1026	1024	1026	1027	1026	1022	1027	1022	118	118	119	121	121	121	121	121	119	122	G
2213	1025	1023	1025	1026	1024	1024	1024	1024	1026	1024	117	119	119	120	121	119	122	122	120	121	G
